구분,가게이름,카테코리(대),카테고리(중),주소,link,caption,lat,lon,benefit
21,"꽃,한양플라워",교육/엔터,"꽃집,꽃배달",서울특별시 광진구 화양동 2-49,https://www.instagram.com/alliance.student.konkuk/p/DGx6C-9vZqd/,"[건국대학교 총학생회 그린 X 꽃, 한양플라워]",37.54383233,127.0721708,"전 품목(꽃다발, 꽃바구니, 화분) 10% 할인"
22,뉴데이 스튜디오,교육/엔터,"사진,스튜디오",서울특별시 광진구 화양동 21-23 케이타워오피스텔 a동 지하2층,https://www.instagram.com/alliance.student.konkuk/p/DGx588YPw1u/,[건국대학교 총학생회 그린 X 뉴데이스튜디오],37.54781312,127.0687109,"1.단체사진 :1인 1만원 (10인 미만 1만 5천원, 학생회 부서별 무료촬영)"
23,디난트 파티룸,교육/엔터,장소대여,서울특별시 광진구 화양동 495-27 3층 디난트파티룸,https://www.instagram.com/alliance.student.konkuk/p/DGx5tW_PNi4/,[건국대학교 총학생회 그린 X 디난트 파티룸],37.54536833,127.0767876,리뷰 작성 시 예약 총액의 10% 할인 (보증금 제외)
24,락휴 코인노래연습장 건대중문점,교육/엔터,노래방,서울특별시 광진구 화양동 5-12 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DHsKZrXP3dn/,[건국대학교 총학생회 그린 X 락휴 코인노래연습장 건대중문점],37.5424055,127.0712979,"2천원당 1곡 추가, 시간 30분당 5분 추가 (주말 및 공휴일 제외, 근무자 부재 시 연락 요망)"
25,락휴 코인노래연습장 서울 건대입구역점,교육/엔터,노래방,서울특별시 광진구 화양동 5-84 B1,https://www.instagram.com/alliance.student.konkuk/p/DHsKg83PDP5/,[건국대학교 총학생회 그린 X 락휴 코인노래연습장 서울 건대입구역점],37.54088566,127.0707613,"2천원당 1곡 추가, 시간 30분당 5분 추가 (주말 및 공휴일 제외, 근무자 부재 시 연락 요망)"
26,서울반지공방 반지만들기카페 건대점,교육/엔터,공방,서울특별시 광진구 자양동 7-13 성신빌딩 2층,https://www.instagram.com/alliance.student.konkuk/p/DGx5MogvB8K/,[건국대학교 총학생회 그린 X 서울반지공방 반지만들기카페 건대점],37.54006373,127.0685292,총액의 10% 할인
27,스코관리형스터디카페 구의1호점,교육/엔터,스터디카페,서울특별시 광진구 구의동 254-36 우남빌딩 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx5DvKPqvT/,[건국대학교 총학생회 그린 X 스코관리형스터디카페 구의1호점],37.5422426,127.0837781,"1. 일반좌석 : 4주권 2만 9천원 할인, 8주권 6만원 할인, 100시간 3만 1천원 할인, 150시간 3만 5천원 할인, 200시간 4만원 할인, 스터디룸(2인 1시간) 1천원 할인"
28,스터디카페 혜윰 구의점,교육/엔터,스터디카페,서울특별시 광진구 구의동 250-19 하림빌딩 2층,https://www.instagram.com/alliance.student.konkuk/p/DGx43i8P9X8/,[건국대학교 총학생회 그린 X 스터디카페 혜윰 구의점],37.54229794,127.0843876,"1. 일반좌석 : 4주권 2만 9천원 할인, 8주권 6만원 할인, 100시간 3만 1천원 할인, 150시간 3만 5천원 할인, 200시간 4만원 할인, 스터디룸(2인 1시간) 1천원 할인"
29,스페이스온새,교육/엔터,장소대여,서울특별시 광진구 화양동 35-16 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx4tL_PGGO/,[건국대학교 총학생회 그린 X 스페이스온새],37.54333483,127.0678643,건국대학교 학생증 인증 시 총액의 20% 할인(예약자 성함과 학생증 명의가 동일해야 함.)
30,쏘플파티룸 건대캐치볼,교육/엔터,장소대여,서울특별시 광진구 화양동 18-26 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx3b__Pd7s/,[건국대학교 총학생회 그린 X 쏘플파티룸 건대캐치볼],37.54756906,127.0702094,총액의 10% 할인
31,오디너리,교육/엔터,장소대여,서울특별시 광진구 자양동 773-8 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx3UxfPmUW/,[건국대학교 총학생회 그린 X 오디너리],37.53781664,127.0791855,건국대학교 학생증 인증 시 총액의 20% 할인(예약자 성함과 학생증 명의가 동일해야 함.)
32,작심스터디카페 화양점,교육/엔터,스터디카페,서울특별시 광진구 화양동 18-26 2~4층,https://www.instagram.com/alliance.student.konkuk/p/DGx3Px5v7O5/,[건국대학교 총학생회 그린 X 작심스터디카페 화양점],37.54756906,127.0702094,"1. 자유석 50, 100, 200시간 결제 시 20% 시간 추가 제공"
33,저스트스캔 건대점,교육/엔터,자료처리업,서울특별시 광진구 화양동 7-3 한림타워 1층 버거킹 가로질러 109호,https://www.instagram.com/alliance.student.konkuk/p/DGx3LlNvafB/,[건국대학교 총학생회 그린 X 저스트스캔 건대점],37.54081604,127.0690313,기본 이용 요금 50% 할인
34,제노PC방 건대후문점,교육/엔터,PC방,서울특별시 광진구 화양동 495-25 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx3IUmPqSX/,[건국대학교 총학생회 그린 X 제노PC방 건대후문점],37.5452426,127.076295,"계좌이체 또는 현금으로 결제 시 1만원권 2시간 서비스, 2만권 5시간 서비스 시간을 제공"
35,테크런 건대1호점,교육/엔터,오락시설,서울특별시 광진구 화양동 2-46 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx3D7nPt8k/,[건국대학교 총학생회 그린 X 테크런 건대 1호점],37.54412716,127.0722871,1인당 음료 1개 제공
36,홈워크 스터디카페 건대점,교육/엔터,스터디카페,서울특별시 광진구 화양동 33-34 2층,https://www.instagram.com/alliance.student.konkuk/p/DGx2_xPvSim/,[건국대학교 총학생회 그린 X 홈워크 스터디카페 건대점],37.54486524,127.0688551,"10% 시간, 기간 추가 증정
(50시간->55시간 / 100시간->110시간 / 200시간->220시간 / 28일 -> 31일)
*매월 1~5일(홈워크데이) 적용 불가
*결제 후 카카오톡 채널 [홈워크]로 학생증/성함/휴대폰 번호 전달 시 이벤트 적용"
37,홈즈앤루팡 보드게임카페 건대점,교육/엔터,보드카페,서울특별시 광진구 화양동 6-2 연한빌딩 2층,https://www.instagram.com/alliance.student.konkuk/p/DGx25wfPOiH/,[건국대학교 총학생회 그린 X 홈즈앤루팡 보드게임카페 건대점],37.5406477,127.0701642,"청소년 요금으로 적용 / 1시간 2천원, 이후 1인당 15분당 500원씩 부과 (학부생만 적용, 주말 및 공휴일 제외)"
38,히어로보드게임카페 건대본점,교육/엔터,보드카페,서울특별시 광진구 화양동 10-1 2층,https://www.instagram.com/alliance.student.konkuk/p/DGx2zPovWTq/,[건국대학교 총학생회 그린 X 히어로보드게임카페 건대본점],37.54350348,127.0699006,추가 1시간 할인 혜택 제공
39,히어로보드게임카페 어린이대공원점,교육/엔터,보드카페,서울특별시 광진구 화양동 111-161 5층,https://www.instagram.com/alliance.student.konkuk/p/DGx2rbWP9cP/,[건국대학교 총학생회 그린 X 히어로보드게임카페 어린이대공원점],37.54743988,127.0718164,"평일 및 주말 기본 요금 인당 2시간에 3천원 적용, 2시간 이후 일반 요금 적용(10분당 500원씩 적용)"
40,오늘스냅,교육/엔터,스냅사진,,https://www.instagram.com/p/DQOdxWjj0sh/?img_index=1,[건국대학교 총학생회 그린 X 오늘스냅],,,"1. 라이트, 베이직, 딥 예약시 1만원 할인
2. 스탠다드, 디테일, 디럭스예약시 10% 할인
3. (공통) 인 당 세부보정본 1장 추가"
41,오늘스냅,교육/엔터,,,https://www.instagram.com/p/DQOdxWjj0sh/?img_index=1,[건국대학교 총학생회 그린 X 오늘스냅],,,"1. 라이트, 베이직, 딥 예약시 1만원 할인
2. 스탠다드, 디테일, 디럭스예약시 10% 할인
3. (공통) 인 당 세부보정본 1장 추가"
42,그레이 바버샵,미용,미용실,서울특별시 광진구 자양동 775 1층 그레이바버샵,https://www.instagram.com/alliance.student.konkuk/p/DJghLQfP07Q/,[건국대학교 총학생회 그린 X 그레이 바버샵],37.53820398,127.0799843,"모든 시술 총액 5% 할인, 네이버 리뷰 작성 시, 10% 할인 (예약 필수)"
